1;25 DE MAYO;BUENOS AIRES
2;3 DE FEBRERO;BUENOS AIRES
3;9 DE JULIO;BUENOS AIRES
4;ADOLFO ALSINA;BUENOS AIRES
5;ADOLFO GONZALEZ CHAVES;BUENOS AIRES
6;ALBERTI;BUENOS AIRES
7;ALMIRANTE BROWN;BUENOS AIRES
8;ALSINA;BUENOS AIRES
9;ARRECIFES;BUENOS AIRES
10;AVELLANEDA;BUENOS AIRES
11;AYACUCHO;BUENOS AIRES
12;AZUL;BUENOS AIRES
13;BAHIA BLANCA;BUENOS AIRES
14;BALCARCE;BUENOS AIRES
15;BARADERO;BUENOS AIRES
16;BARAZATEGUI;BUENOS AIRES
17;BARTOLOME MITRE;BUENOS AIRES
18;BENITO JUAREZ;BUENOS AIRES
19;BERAZATEGUI;BUENOS AIRES
20;BERISSO;BUENOS AIRES
21;BOLIVAR;BUENOS AIRES
22;BRAGADO;BUENOS AIRES
23;BRANDSEN;BUENOS AIRES
24;CAMPANA;BUENOS AIRES
25;CAÑUELAS;BUENOS AIRES
26;CAPITAN SARMIENTO;BUENOS AIRES
27;CARLOS CASARES;BUENOS AIRES
28;CARLOS TEJEDOR;BUENOS AIRES
29;CARMEN DE ARECO;BUENOS AIRES
30;CASTELLI;BUENOS AIRES
31;CHACABUCO;BUENOS AIRES
32;CHASCOMUS;BUENOS AIRES
33;CHIVILCOY;BUENOS AIRES
34;COLON;BUENOS AIRES
35;CORONEL;BUENOS AIRES
36;CORONEL DE MARINA L.ROSALES;BUENOS AIRES
37;CORONEL DORREGO;BUENOS AIRES
38;CORONEL PRINGLES;BUENOS AIRES
39;CORONEL SUAREZ;BUENOS AIRES
40;DAIREAUX;BUENOS AIRES
41;DOLORES;BUENOS AIRES
42;ECHEVERRIA;BUENOS AIRES
43;ENSENADA;BUENOS AIRES
44;ESCOBAR;BUENOS AIRES
45;ESTEBAN ECHEVERRIA;BUENOS AIRES
46;EXALTACION DE LA CRUZ;BUENOS AIRES
47;FLORENCIO VARELA;BUENOS AIRES
48;GENERAL ALVARADO;BUENOS AIRES
49;GENERAL ALVEAR;BUENOS AIRES
50;GENERAL ARENALES;BUENOS AIRES
51;GENERAL BELGRANO;BUENOS AIRES
52;GENERAL GUIDO;BUENOS AIRES
53;GENERAL JUAN MADARIAGA;BUENOS AIRES
54;GENERAL LA MADRID;BUENOS AIRES
55;GENERAL LAS HERAS;BUENOS AIRES
56;GENERAL LAVALLE;BUENOS AIRES
57;GENERAL PAZ;BUENOS AIRES
58;GENERAL PINTO;BUENOS AIRES
59;GENERAL PUEYRREDON;BUENOS AIRES
60;GENERAL RODRIGUEZ;BUENOS AIRES
61;GENERAL SAN MARTIN;BUENOS AIRES
62;GENERAL SARMIENTO;BUENOS AIRES
63;GENERAL VIAMONTE;BUENOS AIRES
64;GENERAL VILLEGAS;BUENOS AIRES
65;GONZALES CHAVES;BUENOS AIRES
66;GRL.PUEYRREDON;BUENOS AIRES
67;GRL.SAN MARTIN;BUENOS AIRES
68;GRL.SARMIENTO;BUENOS AIRES
69;GRL.VIAMONTE;BUENOS AIRES
70;GUAMINI;BUENOS AIRES
71;HIPOLITO YRIGOYEN;BUENOS AIRES
72;JUAREZ;BUENOS AIRES
73;JUNIN;BUENOS AIRES
74;LA MATANZA;BUENOS AIRES
75;LA PLATA;BUENOS AIRES
76;LANUS;BUENOS AIRES
77;LAPRIDA;BUENOS AIRES
78;LAS FLORES;BUENOS AIRES
79;LEANDRO N.ALEM;BUENOS AIRES
80;LINCOLN;BUENOS AIRES
81;LOBERIA;BUENOS AIRES
82;LOBOS;BUENOS AIRES
83;LOMAS DE ZAMORA;BUENOS AIRES
84;LUJAN;BUENOS AIRES
85;MAGDALENA;BUENOS AIRES
86;MAIPU;BUENOS AIRES
87;MAR CHIQUITA;BUENOS AIRES
88;MARCOS PAZ;BUENOS AIRES
89;MATANZA;BUENOS AIRES
90;MERCEDES;BUENOS AIRES
91;MERLO;BUENOS AIRES
92;MONTE;BUENOS AIRES
93;MORENO;BUENOS AIRES
94;MORON;BUENOS AIRES
95;NAVARRO;BUENOS AIRES
96;NECOCHEA;BUENOS AIRES
97;OLAVARRIA;BUENOS AIRES
98;PATAGONES;BUENOS AIRES
99;PEHUAJO;BUENOS AIRES
100;PELLEGRINI;BUENOS AIRES
101;PERGAMINO;BUENOS AIRES
102;PILAR;BUENOS AIRES
103;PUAN;BUENOS AIRES
104;QUILMES;BUENOS AIRES
105;RAMALLO;BUENOS AIRES
106;RAUCH;BUENOS AIRES
107;RIVADAVIA;BUENOS AIRES
108;ROJAS;BUENOS AIRES
109;ROQUE PEREZ;BUENOS AIRES
110;SAAVEDRA;BUENOS AIRES
111;SALADILLO;BUENOS AIRES
112;SALLIQUELO;BUENOS AIRES
113;SALTO;BUENOS AIRES
114;SAN ANDRES DE GILES;BUENOS AIRES
115;SAN ANTONIO DE ARECO;BUENOS AIRES
116;SAN CAYETANO;BUENOS AIRES
117;SAN FERNANDO;BUENOS AIRES
118;SAN ISIDRO;BUENOS AIRES
119;SAN NICOLAS;BUENOS AIRES
120;SAN PEDRO;BUENOS AIRES
121;SAN VICENTE;BUENOS AIRES
122;SARMIENTO;BUENOS AIRES
123;SUIPACHA;BUENOS AIRES
124;TANDIL;BUENOS AIRES
125;TAPALQUE;BUENOS AIRES
126;TIGRE;BUENOS AIRES
127;TORDILLO;BUENOS AIRES
128;TORNQUIST;BUENOS AIRES
129;TRENQUE LAUQUEN;BUENOS AIRES
130;TRES ARROYOS;BUENOS AIRES
131;TRES DE FEBRERO;BUENOS AIRES
132;VICENTE LOPEZ;BUENOS AIRES
133;VILLARINO;BUENOS AIRES
134;ZARATE;BUENOS AIRES
135;AMBATO;CATAMARCA
136;ANCASTI;CATAMARCA
137;ANDALGALA;CATAMARCA
138;ANTOFAGASTA DE LA SIERRA;CATAMARCA
139;BELEN;CATAMARCA
140;CAPAYAN;CATAMARCA
141;CAPITAL;CATAMARCA
142;EL ALTO;CATAMARCA
143;FRAY MAMERTO ESQUIU;CATAMARCA
144;LA PAZ;CATAMARCA
145;PACLIN;CATAMARCA
146;POMAN;CATAMARCA
147;SANTA MARIA;CATAMARCA
148;SANTA ROSA;CATAMARCA
149;TINOGASTA;CATAMARCA
150;VALLE VIEJO;CATAMARCA
151;12 DE OCTUBRE;CHACO
152;25 DE MAYO;CHACO
153;9 DE JULIO;CHACO
154;ALMIRANTE BROWN;CHACO
155;BERMEJO;CHACO
156;CHACABUCO;CHACO
157;COMANDANTE FERNANDEZ;CHACO
158;FRAY JUSTO SANTA MARIA DE ORO;CHACO
159;GENERAL BELGRANO;CHACO
160;GENERAL DONOVAN;CHACO
161;GENERAL GUEMES;CHACO
162;INDEPENDENCIA;CHACO
163;LIBERTAD;CHACO
164;LIBERTADOR GRAL.SAN MARTIN;CHACO
165;MAIPU;CHACO
166;MAYOR LUIS J.FONTANA;CHACO
167;MEYOR LUIS J.FONTANA;CHACO
168;O'HIGGINS;CHACO
169;PRIMERO DE MAYO;CHACO
170;QUITILIPI;CHACO
171;SAN FERNANDO;CHACO
172;SAN LORENZO;CHACO
173;SARGENTO CABRAL;CHACO
174;TAPENAGA;CHACO
175;BIEDMA;CHUBUT
176;CUSHAMEN;CHUBUT
177;ESCALANTE;CHUBUT
178;FLORENTINO AMEGHINO;CHUBUT
179;FUTALEUFU;CHUBUT
180;GAIMAN;CHUBUT
181;GASTRE;CHUBUT
182;LANGUIÑEO;CHUBUT
183;MARTIRES;CHUBUT
184;PASO DE INDIOS;CHUBUT
185;RAWSON;CHUBUT
186;RIO SENGUERR;CHUBUT
187;SARMIENTO;CHUBUT
188;TEHUELCHES;CHUBUT
189;TELSEN;CHUBUT
190;CIUDAD AUTONOMA DE BUENOS AIRES;CIUDAD AUTONOMA DE BS AS
191;CALAMUCHITA;CORDOBA
192;CAPITAL;CORDOBA
193;COLON;CORDOBA
194;CORONEL PRINGLES;CORDOBA
195;CRUZ DEL EJE;CORDOBA
196;CVALAMUCHITA;CORDOBA
197;GENERAL ROCA;CORDOBA
198;GENERAL SAN MARTIN;CORDOBA
