1;16 DE JULIO;AZUL;BUENOS AIRES
2;17 DE AGOSTO;PUAN;BUENOS AIRES
3;20 DE JUNIO;LA MATANZA;BUENOS AIRES
4;20 DE JUNIO ,AP.;TIGRE;BUENOS AIRES
5;25 DE MAYO;25 DE MAYO;BUENOS AIRES
6;30 DE AGOSTO;TRENQUE LAUQUEN;BUENOS AIRES
7;9 DE JULIO;9 DE JULIO;BUENOS AIRES
8;A.A.FERNANDEZ ,AP.;LANUS;BUENOS AIRES
9;A.F.ORMA ,PDA.;LA PLATA;BUENOS AIRES
10;ABASTO;LA PLATA;BUENOS AIRES
11;ABBOT;MONTE;BUENOS AIRES
12;ABEL;PEHUAJO;BUENOS AIRES
13;ACASSUSO;SAN ISIDRO;BUENOS AIRES
14;ACEVEDO;PERGAMINO;BUENOS AIRES
15;ACHUPALLAS;ALBERTI;BUENOS AIRES
16;ADELA;CHASCOMUS;BUENOS AIRES
17;AEROPUERTO EZEIZA;ESTEBAN ECHEVERRIA;BUENOS AIRES
18;AGOTE;MERCEDES;BUENOS AIRES
19;AGUARA ,EST.;BAHIA BLANCA;BUENOS AIRES
20;AGUSTIN FERRARI ,PDA.;MERLO;BUENOS AIRES
21;AGUSTIN ROCA;JUNIN;BUENOS AIRES
22;AGUSTINA;JUNIN;BUENOS AIRES
23;ALAGON;PEHUAJO;BUENOS AIRES
24;ALAMOS;GUAMINI;BUENOS AIRES
25;ALASTUEY;LUJAN;BUENOS AIRES
26;ALBARIÑO;PEHUAJO;BUENOS AIRES
27;ALBERDI VIEJO;LEANDRO N.ALEM;BUENOS AIRES
28;ALBERTI ,EST. ANDRES VACCAREZZA;ALBERTI;BUENOS AIRES
29;ALDEA ROMANA;BAHIA BLANCA;BUENOS AIRES
30;ALDO BONZI;MATANZA;BUENOS AIRES
31;ALEGRE;GENERAL PAZ;BUENOS AIRES
32;ALEJANDRO KORN;SAN VICENTE;BUENOS AIRES
33;ALEJANDRO PETION ,AP.;CAÑUELAS;BUENOS AIRES
34;ALFEREZ SAN MARTIN;BAHIA BLANCA;BUENOS AIRES
35;ALFREDO DEMARCHI ,EST. QUIROGA;9 DE JULIO;BUENOS AIRES
36;ALMIRANTE BROWN ,EST. ADROGUE;ALMIRANTE BROWN;BUENOS AIRES
37;ALMIRANTE SOLIER;CNL.DE MARINA  L.ROSALES;BUENOS AIRES
38;ALSINA;BARADERO;BUENOS AIRES
39;ALTA VISTA;SAAVEDRA;BUENOS AIRES
40;ALTAMIRA;MERCEDES;BUENOS AIRES
41;ALTAMIRANO;BRANDSEN;BUENOS AIRES
42;ALTIMPERGHER ,AP.;GENERAL SARMIENTO;BUENOS AIRES
43;ALTONA;TAPALQUE;BUENOS AIRES
44;ALVAREZ DE TOLEDO;SALADILLO;BUENOS AIRES
45;ALVAREZ JONTE;MAGDALENA;BUENOS AIRES
46;ALZAGA;GONZALES CHAVES;BUENOS AIRES
47;AMALIA;9 DE JULIO;BUENOS AIRES
48;AMEGHINO;GENERAL PINTO;BUENOS AIRES
